run_dir,run_name,organism,replica_count,arm,arm_label,metric,metric_label,point,ci_low,ci_high,ci_method,n,confidence
140726_132208_agentic,"Agentic Evaluation (E. coli, esm_small, r20)",E. coli,20,oracle,Best Candidate (ceiling),edit_similarity,Edit Similarity,0.746153631202993,0.6986709247006347,0.7907055330049891,bca,100,0.95
140726_132208_agentic,"Agentic Evaluation (E. coli, esm_small, r20)",E. coli,20,shuffled,Random Order,adjacent_pair_acc,Adjacent Pair Accuracy,0.11993022002178157,0.08942004612524221,0.16792623749805305,bca,100,0.95
140726_132208_agentic,"Agentic Evaluation (E. coli, esm_small, r20)",E. coli,20,deterministic,Fixed Settings,adjacent_pair_acc,Adjacent Pair Accuracy,0.5855660672791442,0.5356645763469905,0.6342892476506035,bca,100,0.95
140726_132208_agentic,"Agentic Evaluation (E. coli, esm_small, r20)",E. coli,20,control,Random Search (no LLM),adjacent_pair_acc,Adjacent Pair Accuracy,0.7099628782125238,0.6672015166132591,0.7505434168373659,bca,100,0.95
140726_132208_agentic,"Agentic Evaluation (E. coli, esm_small, r20)",E. coli,20,agentic,LLM-Guided,adjacent_pair_acc,Adjacent Pair Accuracy,0.7338276019474196,0.6934542513395963,0.7732235737985844,bca,100,0.95
140726_132208_agentic,"Agentic Evaluation (E. coli, esm_small, r20)",E. coli,20,oracle,Best Candidate (ceiling),adjacent_pair_acc,Adjacent Pair Accuracy,0.782593741038735,0.7438995853812104,0.8197065928231986,bca,100,0.95
140726_132208_agentic,"Agentic Evaluation (E. coli, esm_small, r20)",E. coli,20,shuffled,Random Order,longest_correct_run,Longest Correct Run,0.17006701715998448,0.139878767331233,0.2154932151659262,bca,100,0.95
140726_132208_agentic,"Agentic Evaluation (E. coli, esm_small, r20)",E. coli,20,deterministic,Fixed Settings,longest_correct_run,Longest Correct Run,0.4222340056668884,0.3645559961019774,0.4848114430470043,bca,100,0.95
140726_132208_agentic,"Agentic Evaluation (E. coli, esm_small, r20)",E. coli,20,control,Random Search (no LLM),longest_correct_run,Longest Correct Run,0.502060055531535,0.43643958068736305,0.5694505539475451,bca,100,0.95
140726_132208_agentic,"Agentic Evaluation (E. coli, esm_small, r20)",E. coli,20,agentic,LLM-Guided,longest_correct_run,Longest Correct Run,0.5239673385135916,0.4598491649659713,0.5911281898719036,bca,100,0.95
140726_132208_agentic,"Agentic Evaluation (E. coli, esm_small, r20)",E. coli,20,oracle,Best Candidate (ceiling),longest_correct_run,Longest Correct Run,0.5821366415647087,0.5145952833989248,0.6505218283108201,bca,100,0.95
