run_dir,run_name,organism,replica_count,n_samples,fragment_bin,arm,metric,metric_label,n_in_bin,n_usable,mean,lift_over_shuffled,shuffled_mean
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,20-49,deterministic,adjacent_pair_acc,Adjacent Pair Accuracy,28,28,0.7647882421336228,0.7233096737872806,0.041478568346342226
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,50+,deterministic,adjacent_pair_acc,Adjacent Pair Accuracy,9,9,0.7049035461614142,0.6800774856491194,0.024826060512294777
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,2-4,control,adjacent_pair_acc,Adjacent Pair Accuracy,3,3,1.0,1.0,0.0
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,5-9,control,adjacent_pair_acc,Adjacent Pair Accuracy,20,20,0.9232142857142858,0.7923214285714286,0.13089285714285714
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,10-19,control,adjacent_pair_acc,Adjacent Pair Accuracy,39,39,0.889982110230979,0.8193296438771552,0.07065246635382383
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,20-49,control,adjacent_pair_acc,Adjacent Pair Accuracy,28,28,0.8264032365508024,0.7849246682044602,0.041478568346342226
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,50+,control,adjacent_pair_acc,Adjacent Pair Accuracy,9,9,0.7730561060500852,0.7482300455377904,0.024826060512294777
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,2-4,agentic,adjacent_pair_acc,Adjacent Pair Accuracy,3,3,1.0,1.0,0.0
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,5-9,agentic,adjacent_pair_acc,Adjacent Pair Accuracy,20,20,0.9169642857142858,0.7860714285714285,0.13089285714285714
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,10-19,agentic,adjacent_pair_acc,Adjacent Pair Accuracy,39,39,0.8966725707675934,0.8260201044137696,0.07065246635382383
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,20-49,agentic,adjacent_pair_acc,Adjacent Pair Accuracy,28,28,0.8721896848879519,0.8307111165416096,0.041478568346342226
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,50+,agentic,adjacent_pair_acc,Adjacent Pair Accuracy,9,9,0.7974802272698414,0.7726541667575466,0.024826060512294777
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,2-4,oracle,adjacent_pair_acc,Adjacent Pair Accuracy,3,3,1.0,1.0,0.0
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,5-9,oracle,adjacent_pair_acc,Adjacent Pair Accuracy,20,20,0.975,0.8441071428571428,0.13089285714285714
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,10-19,oracle,adjacent_pair_acc,Adjacent Pair Accuracy,39,39,0.9557149173099398,0.8850624509561162,0.07065246635382383
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,20-49,oracle,adjacent_pair_acc,Adjacent Pair Accuracy,28,28,0.9078293991026355,0.8663508307562932,0.041478568346342226
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,50+,oracle,adjacent_pair_acc,Adjacent Pair Accuracy,9,9,0.8186731884066997,0.7938471278944048,0.024826060512294777
